Post number,主题,正文,附件,Attachment caption,位置,Latitude,Longitude,作者,创建时间,更新时间,Number of comments,赞
31,"Denny Hall (DEN), Seattle, WA, USA","Ballonia is an anthropology student that has classes at the Denny hall every week. She always feels excited for her class when she is walking through the field to get to the castle like building.

- Rino Hamanishi",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892947876,,"Denny Hall (DEN), Seattle, WA, USA",47.6583974,-122.3087838,Anonymous,2024-02-22 21:50:04 UTC,2024-02-26 21:37:55 UTC,0,0
32,"Fritz Hedges Waterway Park, 1117 NE Boat St, Seattle, WA 98105, USA","Till visits this peaceful park often. Sometimes she will sit and have a snack on the viewpoint after class. Sometimes, she accompanies friends down to the park at night to sit and talk. It is a good place to walk to when Till needs a walk. V. Sakdy",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892945725,Till in front of Portage Bay on a windy day,"Fritz Hedges Waterway Park, 1117 NE Boat St, Seattle, WA 98105, USA",47.651979082797574,-122.3161314724223,Anonymous,2024-02-22 21:46:40 UTC,2024-02-26 21:08:04 UTC,0,0
33,"HUB Yard, Seattle, WA","Gregg 2 here, this is my happy place. The Hub has a lot to offer. You can hang out on the lawn when it is sunny out, or enjoy the occasional concert. It is also near the Suzzallo and Allen Libraries making for a great study spot.

By SHR",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892945630,"HUB Yard, University of Washington","HUB Yard, Seattle, WA",47.6559785,-122.3061132,Anonymous,2024-02-22 21:46:30 UTC,2024-02-22 22:03:56 UTC,0,0
34,"Historic Chinatown Gate, 5th Avenue South, Seattle, WA, USA","This is Jacque Wyn, he is exploring Chinatown again as he visited this place a lot as a child, and it brings back memories of the times he spent with his parents and took pictures at this particular gate. - NQ Nguyen",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892945146,,"Historic Chinatown Gate, 5th Avenue South, Seattle, WA, USA",47.5983847,-122.3273644,Anonymous,2024-02-22 21:45:37 UTC,2024-02-22 21:46:04 UTC,0,1
35,"Mount Baker Station, Seattle, WA","This is Bob. Bob is happy at the Mount Baker link light rail because he has to come here everyday when he goes home. He likes to go home. Also, he had a cross country team picture here. He had a happy time at cross country. Jack W.",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892943889,Bob at Mount Baker Link Light Rail Station,"Mount Baker Station, Seattle, WA",47.57643369999999,-122.2977667,Anonymous,2024-02-22 21:43:42 UTC,2024-02-26 21:07:08 UTC,0,1
36,"Hub U District Seattle, University Way NE, Seattle, WA","This is lil looney an upcoming rapper. One of his favorite spots is the HUB since it's facility include food and entertainment as well areas to study. It's a 3 in one building and a great place to relax until his next class. 
Lesther D

",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892925619,HUB,"Hub U District Seattle, University Way NE, Seattle, WA",47.66537,-122.31276,Anonymous,2024-02-22 21:15:46 UTC,2024-02-22 22:06:48 UTC,1,0
37,"Grieg Garden, Seattle, WA","The happy place for Gregg 1 is the Grieg Garden because of the calm and quiet space it provides. It is the perfect place to come to on a nice sunny day when you want to eat some lunch before class or just relax and read a book.
- Sergio V.",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892922318,Grieg Garden,"Grieg Garden, Seattle, WA",47.65615649999999,-122.3066362,Anonymous,2024-02-22 21:10:30 UTC,2024-02-22 22:06:06 UTC,0,0
38,"Samuel E. Kelly Ethnic Cultural Center, Brooklyn Avenue Northeast, Seattle, WA, USA","The ECC is baloona’s happy place because she is able to meet new people every time she visits, and also feel like part of a community when she goes to RSO meetings. In addition, baloona has made so many happy memories in the past two years at the ECC and she feels energized and ready for another adventure every time she sets foot in this building. Baloona would recommend going to an RSO at least once in your time here at UW, because the people in them are friendly and open to making new connections. Also they have comfortable furniture and big study tables in the ECC!
- EL",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892885677,,"Samuel E. Kelly Ethnic Cultural Center, Brooklyn Avenue Northeast, Seattle, WA, USA",47.655095,-122.314784,Anonymous,2024-02-22 20:22:10 UTC,2024-02-22 20:22:10 UTC,0,0
39,"Denny Yard, Seattle, WA, USA","This is Balloonia. Her happy place is Denny Yard. She likes to have a picnic, read a book and listen to music on the grass or bench, especially on a bright sunny day. The Denny Hall building is also beautiful to look at. 

By Katherine P. ",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892798540,,"Denny Yard, Seattle, WA, USA",47.65803469999999,-122.308265,Anonymous,2024-02-22 18:54:51 UTC,2024-02-22 18:54:51 UTC,0,0
40,"Plant Operations Annex 6 (PO6), Seattle, WA","This is Goodyear and his favorite place is Annex 6, Engineering Services. The Annex is filled with his favorite people that make him smile in the mornings, it is a great way to start off the day!",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892603374,Annex 6 Plant Operations,"Plant Operations Annex 6 (PO6), Seattle, WA",47.6544245,-122.3033606,Anonymous,2024-02-22 16:11:28 UTC,2024-02-22 16:11:28 UTC,1,0
41,"Suzzallo Library, Seattle, WA, USA","Jimmy the balloon's happy place is the Suzzallo library. He loves to read books or study in the Suzzallo reading room which is the main reason this is his favorite library on campus. Right now he is reading The Martian by Andy Weir.

By Tyler Pham",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892585609,,"Suzzallo Library, Seattle, WA, USA",47.6558268,-122.3080861,Anonymous,2024-02-22 15:57:58 UTC,2024-02-26 21:07:23 UTC,1,0
42,"Microsoft Cafe, Jefferson Road Northeast, Seattle, WA","The Microsoft Cafe, located on the UW campus, is where Mark usually goes after class to get fresh coffee and complete his daily tasks. He thinks it's sincerely nice to be nestled up with students all focusing on similar things. Mark also recommends sticking to the cafe's lattes as they are the most reliable choice for any day of the week. 

By A.K.",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892270469,,"Microsoft Cafe, Jefferson Road Northeast, Seattle, WA",47.6530424,-122.305155,Anonymous,2024-02-22 11:40:17 UTC,2024-02-23 09:17:21 UTC,0,0
43,"Intramural Activities Building (IMA), Montlake Boulevard Northeast, Seattle, WA, USA","Climbing has always been a great outlet for me both physically and emotionally. Being able to forget about whatever is going on in my life and just focus on climbing fake rocks for imaginary glory is a great feeling. 

The community surrounding climbing is also one of the most inclusive and helpful groups of people. 

By Aidan M",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892023183,"","Intramural Activities Building (IMA), Montlake Boulevard Northeast, Seattle, WA, USA",47.6535921,-122.3015799,millai20,2024-02-22 07:50:24 UTC,2024-02-22 07:50:24 UTC,0,0
44,"Meadowbrook Pond, Seattle, WA","This is a pond in the Balloon named George's neighborhood which George has walked through many times since forever. There are some beavers who live here who Georgre walks down here to see in the summer at dusk, he says it's pretty fun to wait on this bridge watching the ducks until you spot them.

AK",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2891993333,"","Meadowbrook Pond, Seattle, WA",47.7060726,-122.2874785,Anonymous,2024-02-22 07:19:37 UTC,2024-02-23 07:18:55 UTC,0,0
45,"IMA Sports Field, Seattle, WA","The IMA football field is Balloonaldo's happy place because he loves to watch and play the game of football. Here, he plays every weekend with his friends as he strives to be the best player in football. His favorite player is Cristiano Ronaldo.

By Christian Tsao",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2891861008,Balloonaldo at the IMA field,"IMA Sports Field, Seattle, WA",47.6548594,-122.3006859,Anonymous,2024-02-22 04:40:48 UTC,2024-02-26 21:08:15 UTC,0,0
46,"PACCAR Hall, NE Stevens Way, Seattle, WA, USA","
I used to go to PACCAR Hall all the time during my first year at UW! Even though I don't go quite often now, this building always has a place in my heart. From a study place to a small dining area, PACCAR has all I need as a student.

This is the best place to go to on a sunny day because of the all-glass architecture, and you will get to see other Huskies come and go and also get to see the beautiful blue from the sky above and the calming green from the ground or the tree.

By JT",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2891807608,"","PACCAR Hall, NE Stevens Way, Seattle, WA, USA",47.6593782,-122.3090131,Anonymous,2024-02-22 03:33:39 UTC,2024-02-22 03:35:43 UTC,1,0
47,"The Quad - University of Washington, Pierce Lane, Seattle, WA",The Quad is Dabloons happy place because it is very peaceful and surrounded by beautiful buildings. It's also Dabloons happy place because of the cherry blossoms. ~ Reginald Asplet,https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2891723409,Had to put on a hat to stay dry,"The Quad - University of Washington, Pierce Lane, Seattle, WA",47.65726309999999,-122.3071972,Reginald Asplet (aspletreg),2024-02-22 02:09:04 UTC,2024-02-22 22:05:35 UTC,0,0
48,"YangGuoFu YGF MalaTang, University Way NE, Seattle, WA","YGF is loony happy place! YGF is perfect for any cold, sad, or wet day, you get to create your own custom hotpot!! :))) careful you might smell like hotpot afterwards hehehe - PN",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2891570627,loony is cold and wet and wanted something hot,"YangGuoFu YGF MalaTang, University Way NE, Seattle, WA",47.6637131,-122.3129474,Priscilla Nguyen (cillangu),2024-02-21 23:17:46 UTC,2024-02-21 23:19:55 UTC,0,0
49,"Green Lake Trail, Seattle, WA",Post Your Happy Place Story - Oh,https://i.etsystatic.com/25669111/r/il/70c193/2599626550/il_600x600.2599626550_92dw.jpg,,"Green Lake Trail, Seattle, WA",47.6774723,-122.3325831,Gunwha Oh (gunwhaoh),2024-02-21 20:12:36 UTC,2024-02-21 20:13:17 UTC,0,0
